symbol,modality,present,source_identifier,raw_file_count,raw_record_count,earliest_date,latest_date,coverage_2023,coverage_2024h1,through_final_valuation,disk_bytes,missing_timestamp_count,invalid_timestamp_count,duplicate_count,parse_error_count,availability_metadata,ticker_field_values,notes,earliest_period_end,latest_period_end,earliest_availability_date,latest_availability_date,earliest_nominal_period,latest_nominal_period,earliest_nominal_end,latest_nominal_end,dimensions,corrupt_or_unreadable_count
AAPL,text,true,sp500_news/AAPL.jsonl,1,9311,2022-06-03,2025-04-18,350,0,557,40535030,0,0,0,0,date_only_no_timezone_or_time_of_day,"{""AAPL"": 8816, ""aapl"": 495}",File-level symbol mapping with Stock_symbol field; no publication-time or revision field,,,,,,,,,,
AAPL,table,true,financial_reports/aapl/condensed_consolidated_balance_sheets.json;financial_reports/aapl/condensed_consolidated_statement_of_cash_flows.json;financial_reports/aapl/condensed_consolidated_statement_of_equity.json,3,105966,,,6342,1554,103950,53434104,0,0,1764,0,filed_date_only_no_timezone_or_time_of_day,,SEC-style company facts; period end is distinct from filed date; restatement groups detected,2006-09-30,2024-12-28,2009-07-22,2025-01-31,,,,,,
AAPL,time_series,true,S&P500_time_series/aapl.csv,1,6348,2000-01-03,2025-03-28,250,124,6165,751946,0,0,0,0,timezone-bearing daily Date at midnight; no close-time field,,No Adj Close column; values appear adjusted but source metadata does not state auto_adjust semantics,,,,,,,,,,
AAPL,image,false,image/image/S&P500_image_*/aapl,0,0,,,,,,0,,,0,,ticker/year/half-year filename only; chart start/end not stored separately,,AAPL description flag is not backed by an actual extracted AAPL image directory,,,,,,,,,{},0
AMZN,text,true,sp500_news/AMZN.jsonl,1,5560,2023-03-09,2025-04-21,274,0,274,28833382,0,0,307,0,date_only_no_timezone_or_time_of_day,"{""AMZN"": 4762, ""amzn"": 798}",File-level symbol mapping with Stock_symbol field; no publication-time or revision field,,,,,,,,,,
AMZN,table,true,financial_reports/amzn/condensed_consolidated_balance_sheets.json;financial_reports/amzn/condensed_consolidated_statement_of_cash_flows.json;financial_reports/amzn/condensed_consolidated_statement_of_equity.json,3,70980,,,3770,1014,70096,36041226,0,0,3276,0,filed_date_only_no_timezone_or_time_of_day,,SEC-style company facts; period end is distinct from filed date; restatement groups detected,2006-12-31,2024-12-31,2009-07-24,2025-02-07,,,,,,
AMZN,time_series,true,S&P500_time_series/amzn.csv,1,6348,2000-01-03,2025-03-28,250,124,6165,731674,0,0,0,0,timezone-bearing daily Date at midnight; no close-time field,,No Adj Close column; values appear adjusted but source metadata does not state auto_adjust semantics,,,,,,,,,,
AMZN,image,true,image/image/S&P500_image_*/amzn,51,51,,,,,,2202468,,,0,,ticker/year/half-year filename only; chart start/end not stored separately,,Filename encodes ticker/year/half-year; chart start/end not stored separately,,,,,2000-H1,2025-H1,2000-06-30,2025-06-30,"{""800x600"": 51}",0
JPM,text,false,sp500_news/JPM.jsonl,,,,,,,,,,,,,,,No matching ZIP member,,,,,,,,,,
JPM,table,true,financial_reports/jpm/condensed_consolidated_balance_sheets.json;financial_reports/jpm/condensed_consolidated_statement_of_cash_flows.json;financial_reports/jpm/condensed_consolidated_statement_of_equity.json,3,6960,,,356,84,6880,3521715,0,0,536,0,filed_date_only_no_timezone_or_time_of_day,,SEC-style company facts; period end is distinct from filed date; restatement groups detected,2007-12-31,2024-12-31,2009-08-10,2025-02-14,,,,,,
JPM,time_series,true,S&P500_time_series/jpm.csv,1,6348,2000-01-03,2025-03-28,250,124,6165,739556,0,0,0,0,timezone-bearing daily Date at midnight; no close-time field,,No Adj Close column; values appear adjusted but source metadata does not state auto_adjust semantics,,,,,,,,,,
JPM,image,true,image/image/S&P500_image_*/jpm,51,51,,,,,,2206008,,,0,,ticker/year/half-year filename only; chart start/end not stored separately,,Filename encodes ticker/year/half-year; chart start/end not stored separately,,,,,2000-H1,2025-H1,2000-06-30,2025-06-30,"{""800x600"": 51}",0
